full_name,mentions_match
Al Horford,Horford
Al Jefferson,Big Al
Al-Farouq Aminu,Aminu
Alec Burks,Burks
Alex Caruso,"Bald Eagle,Caruso"
Alex Len,Len
Alexey Shved,Shved
Alexis Ajinca,Ajinca
Allen Crabbe,Crabbe
Alonzo Gee,Gee
Alperen Sengun,Sengun
Amare Stoudemire,"Stoudemire,Amare"
Anderson Varejao,Varejao
Andray Blatche,Blatche
Andre Drummond,"Dre Drummond,Drummond"
Andre Iguodala,"Iguodala,Iggy"
Andrea Bargnani,"Bargnani,Bargs"
Andrei Kirilenko,"Kirilenko,AK-47,AK47"
Andrew Bogut,Bogut
Andrew Wiggins,"Wiggins,Wiggs"
Andris Biedrins,"Biedrins,Andris"
Anthony Davis,AD
Anthony Morrow,Morrow
Anthony Tolliver,Tolliver
Arinze Onuaku,"Arinze,Onuaku"
Arnett Moultrie,Moultrie
Aron Baynes,Baynes
Arron Afflalo,Afflalo
Austin Daye,Daye
Bam Adebayo,Adebayo
Ben McLemore,McLemore
Beno Udrih,"Udrih,Beno"
Bismack Biyombo,"Bismack,Biyombo"
BJ Mullens,"Byron Mullens,Mullens"
Bobby Portis,Portis
Boris Diaw,Diaw
Bradley Beal,"Brad Beal,Beal"
Bruno Caboclo,Caboclo
Cade Cunningham,Cade Cunningham
Cameron Payne,Cam Payne
Carlos Boozer,"Boozer,Booz"
Carlos Delfino,Delfino
Carmelo Anthony,Carmelo
Caron Butler,"Tough Juice,Caron"
Cartier Martin,Cartier
Chandler Parsons,Parsons
Charlie Villanueva,Villanueva
Charlie Westbrook,"Russ,Westbrick"
Chase Budinger,Budinger
Chauncey Billups,"Chauncey,Billups"
Chris Babb,Babb
Chris Bosh,Bosh
Chris Copeland,Copeland
Chris Douglas-Roberts,"Douglas-Roberts,CDR"
Chris Kaman,Kaman
Chris Paul,"Point God,CP3,CP"
CJ McCollum,McCollum
Cleanthony Early,Cleanthony
Cole Aldrich,Aldrich
Collin Sexton,"Sexland,Sexton"
Cuttino Mobley,Mobley
D'Angelo Russell,DLo
Damian Lillard,"Dame Lillard,Lillard,Dame"
Danilo Gallinari,"Gallinari,Il Gallo,Gallo"
Dario Saric,Saric
Darius Garland,"Garland,DG"
Davis Bertans,Bertans
Deandre Ayton,Ayton
DeAndre Liggins,Liggins
DeJuan Blair,"DeJuan,Blair"
Delonte West,Delonte
DeMar DeRozan,DeRozan
DeMarcus Cousins,"DeMarcus,Boogie,DMC"
DeMarre Carroll,DeMarre
Dennis Schroeder,"Schroeder,Schroder,Schröder"
Derek Fisher,"D-Fish,Dfish"
Deron Williams,Deron
Derrick Rose,"D-Rose,Drose"
Devin Booker,"Booker,Book"
Dewayne Dedmon,Dedmon
Diante Garrett,Diante
Dikembe Mutombo,"Mutombo,Dikembe"
Dion Waiters,Waiters
Dionte Christmas,Dionte
Dirk Nowitzki,"Nowitzki,Dirk"
DJ Augustin,Augustin
Domantas Sabonis,"Domantas,Sabonis,Domas"
Donatas Motiejunas,"Motiejunas,Donatas"
Doug McDermott,"McDermott,McBuckets"
Draymond Green,"Draymond,Dray"
Drew Gooden,Gooden
Dwight Buycks,Buycks
Dwyane Wade,"Wade,D-Wade,Dwade"
E'Twaun Moore,E'Twaun
Ekpe Udoh,"Ekpe,Udoh"
Elton Brand,Elton
Emeka Okafor,"Meka,Mek"
Enes Kanter,"Enes Freedom,Kanter,Enes"
Eric Bledsoe,Bledsoe
Eric Maynor,Maynor
Ersan Ilyasova,Ilyasova
Evan Fournier,Fournier
Festus Ezeli,"Festus,Ezeli"
Frank Ntilikina,Ntilikina
Franz Wagner,Franz
Fred VanVleet,"VanVleet,FVV"
Furkan Korkmaz,"Korkmaz,Furkan"
Gal Mekel,Mekel
Gary Payton II,"GPII,GP2"
Gerald Henderson,Hendo
Giannis Antetokounmpo,"Antetokounmpo,Greek Freak,Giannis"
Gigi Datome,"Luigi Datome,Datome,Gigi"
Glen Davis,Big Baby
Goran Dragic,"The Dragon,Dragic"
Gordon Hayward,Hayward
Gorgui Dieng,Dieng
Greg Oden,Oden
Greg Stiemsma,Stiemsma
Greivis Vasquez,"Vasquez,Greivis"
Gustavo Ayon,Ayon
Harrison Barnes,Black Falcon
Hasheem Thabeet,"Thabeet,Hasheem"
Hidayet Turkoglu,"Turkoglu,Hedo"
Ian Mahinmi,Mahinmi
Iman Shumpert,"Shumpert,Shump"
Isaiah Canaan,Canaan
Isaiah Hartenstein,Hartenstein
Ivica Zubac,"Zubac,Zu"
Ja Morant,"Ja,Morant"
Jae Crowder,Crowder
Jalen Williams,JDub
James Harden,Harden
Jan Vesely,Vesely
Jared Dudley,Dudley
Jared Sullinger,Sullinger
Jaren Jackson Jr,JJJ
Jarred Vanderbilt,Vando
Jarvis Varnado,Varnado
Jason Maxiell,Maxiell
Jason Richardson,"J-Rich,Jrich"
JaVale McGee,"JaVale,McGee"
Jayson Tatum,Tatum
Jeff Ayres,Ayres
Jeff Withey,Withey
Jerami Grant,Jerami
Jeremy Lin,"Linsanity,Lin"
Jerryd Bayless,"Bayless,Jerryd"
Jimmer Fredette,Fredette
Jimmy Butler,Himmy
JJ Hickson,Hickson
JJ Redick,Redick
Joakim Noah,Joakim
Jodie Meeks,Meeks
Joel Embiid,Embiid
Joel Freeland,Freeland
John Salmons,Salmons
Jon Leuer,Leuer
Jonas Jerebko,Jerebko
Jordan Farmar,Farmar
Jorge Gutierrez,Gutierrez
Jose Calderon,"Calderon,Calde"
Jose Juan Barea,"JJ Barea,Barea"
Josh Harrellson,Harrellson
Josh McRoberts,"McRoberts,McBob"
JR Smith,J.R. Smith
Jrue Holiday,Jrue
Juan Hernangomez,Juancho
Julius Randle,Randle
Jusuf Nurkic,Nurkic
Karl-Anthony Towns,KAT
Kawhi Leonard,"The Claw,Kawhi"
Keith Bogans,Bogans
Kelly Olynyk,Olynyk
Kemba Walker,Kemba
Kendrick Perkins,Perk
Kenneth Faried,"Manimal,Faried"
Kent Bazemore,Bazemore
Kentavious Caldwell-Pope,"Caldwell-Pope,Kentavious,KCP"
Kevin Durant,"The Servant,Slim Reaper,Durantula,Durant,KD"
Kevin Garnett,KG
Kevin Huerter,Huerter
Kevin Seraphin,Seraphin
Khris Middleton,"Middleton,Middy"
Kirk Hinrich,Hinrich
Klay Thompson,Klay
Kobe Bryant,"Black Mamba,Mamba,Kobe,KB24,KB"
Kosta Koufos,"Koufos,Kosta"
Kris Dunn,Dunn
Kristaps Porzingis,"Porzingis,Kristaps,Staps,KP"
Kyle Korver,Korver
Kyle Kuzma,"Kuzma,Kuz"
Kyle Lowry,Lowry
Kyle O'Quinn,O'Quinn
Kyle Singler,Singler
Kyrie Irving,"Uncle Drew,Irving,Kyrie,Kai"
LaMarcus Aldridge,"LaMarcus,Aldridge,LMA"
LaMelo Ball,LaMelo
Lance Stephenson,"Sir Lancelot,Stephenson"
Lavoy Allen,Lavoy
Leandro Barbosa,"Leandrinho,Barbosa,Leandro"
LeBron James,"King James,LeBron,Bron,LBJ"
Lonzo Ball,Lonzo
Louis Amundson,Amundson
Lucas Nogueira,"Nogueira,Bebe"
Luis Scola,Scola
Luka Doncic,"Doncic,Luka"
Luke Babbitt,Babbitt
Luke Ridnour,Ridnour
Luol Deng,"Luol,Deng"
Malcolm Brogdon,Brogdon
Malik Monk,Monk
Manu Ginobili,"Ginobili,Manudo,Manu"
Marcin Gortat,"Polish Hammer,Gortat"
Marco Belinelli,Belinelli
Mario Chalmers,Chalmers
Markelle Fultz,Fultz
Markieff Morris,Markieff
Marquis Teague,Marquis
Marreese Speights,"Marreese,Speights"
MarShon Brooks,"Marshon,MarShon"
Martell Webster,Webster
Marvin Bagley,Bagley
Matt Bonner,"Red Mamba,Bonner"
Matthew Dellavedova,"Dellavedova,Delly"
Michael Beasley,B-Easy
Michael Carter-Williams,"Carter-Williams,MCW"
Michael Kidd-Gilchrist,"Kidd-Gilchrist,MKG"
Michael Porter,MPJ
Mike Conley,Conley
Mike Dunleavy,Dunleavy
Mike Muscala,Muscala
Miroslav Raduljica,Raduljica
Mirza Teletovic,"Teletovic,Mirza"
Moe Harkless,Harkless
Monta Ellis,Monta
Nando De Colo,"De Colo,Nando"
Nate Robinson,"N-Rob,Nrob"
Nate Wolters,Wolters
Nazr Mohammed,Mohammed
Nemanja Bjelica,Bjelica
Nemanja Nedovic,Nedovic
Nenê,Hilario
Nerlens Noel,"Nerlens,Noel"
Nick Calathes,Calathes
Nick Young,"Swaggy P,Swaggy"
Nicolas Batum,"Nic Batum,Batum"
Nik Stauskas,"Sauce Castillo,Stauskas"
Nikola Jokic,"Joker,Jokic,Yoke"
Nikola Mirotic,"Niko Mirotic,Mirotic"
Nikola Pekovic,"Pekovic,Pek"
Nikola Vucevic,"Vucevic,Vooch,Vuc"
Norman Powell,Norm Powell
Norris Cole,Norris
OG Anunoby,Anunoby
Ognjen Kuzmic,Kuzmic
Omer Asik,"Omer,Asik"
Omri Casspi,"Casspi,Omri"
Pablo Prigioni,Prigioni
Paolo Banchero,"Paolo,Banchero"
Pascal Siakam,Siakam
Patrick Beverley,"Beverley,Pat Bev"
Patrick Mills,"Patty Mills,Mills,Patty"
Pau Gasol,Pau
Paul George,"Pandemic P,Playoff P"
Paul Millsap,Millsap
Paul Pierce,The Truth
Pero Antic,Antic
Peyton Siva,Siva
Phil Pressey,Pressey
Quincy Acy,Acy
Quincy Pondexter,Pondexter
Ramon Sessions,Sessions
Rasual Butler,Rasual
Ray Allen,"Jesus Shuttlesworth,Shuttlesworth,Ray Ray"
Ray McCallum,McCallum
Raymond Felton,Felton
Rick Brunson,Brunson
Ricky Ledo,Ledo
Ricky Rubio,Rubio
Robbie Hummel,Hummel
Robert Covington,Covington
Robert Sacre,Sacre
Robert Williams,Rob Williams
Rodney Stuckey,Stuckey
Ronny Turiaf,Turiaf
Roy Hibbert,Hibbert
Rudy Gobert,Gobert
Rui Hachimura,Hachimura
Russell Westbrook,Westbrook
Samuel Dalembert,"Sam Dalembert,Dalembert"
Serge Ibaka,"Iblocka,Ibaka"
Sergey Karasev,Karasev
Sergio Rodriguez,"chachismo,Chacho"
Shabazz Muhammad,"Muhammad,Shabazz"
Shabazz Napier,Napier
Shai Gilgeous-Alexander,"Shai,SGA"
Shane Battier,Battier
Shane Larkin,Larkin
Shaquille Harrison,Shaq Harrison
Shavlik Randolph,Shav
Shawn Marion,"The Matrix,Matrix"
Spencer Dinwiddie,Dinwiddie
Spencer Hawes,Hawes
Stephen Curry,"Steph Curry,Chef Curry,Curry"
Steve Kerr,Kerr
Steve Nash,"Nashy,Nash"
Steve Novak,Novak
Tayshaun Prince,Tayshaun
Terrence Ross,T-Ross
Terry Rozier,Rozier
Thabo Sefolosha,"Sefolosha,Thabo"
Thaddeus Young,"Thad Young,Thad"
Thanasis Antetokounmpo,Thanasis
Thomas Robinson,"T-Rob,Trob"
Tiago Splitter,"Splitter,Tiago"
Tim Duncan,"Big Fundamental,Duncan"
Tim Hardaway Jr,Hardaway
Timofey Mozgov,"Mozgov,Timo"
Tobias Harris,Tobias
Tony Parker,TP
Tony Snell,Snell
Tornike Shengelia,"Toko Shengelia,Shengelia,Tornike,Toko"
Toure Murry,Toure
Trae Young,Trae
Trevor Ariza,Ariza
Trey Burke,Burke
Tristan Thompson,Tristan
Ty Lawson,Lawson
Tyler Hansbrough,Hansbrough
Tyreke Evans,"Tyreke,Reke"
Tyrese Haliburton,Haliburton
Tyrese Maxey,Maxey
Tyronn Lue,"Ty Lue,Lue"
Udonis Haslem,"Haslem,Udonis"
Victor Claver,Claver
Victor Oladipo,Oladipo
Victor Wembanyama,"Wembanyama, Wemby"
Vince Carter,"Air Canada,Vinsanity"
Vitor Faverani,Faverani
Wayne Ellington,Ellington
Zach LaVine,LaVine
Zach Randolph,"Z-Bo,Zbo"
Zaza Pachulia,Pachulia
Zion Williamson,"Zion,Williamson"
Kingston Flemings,Flemings
Zuby Ejiofor,Ejiofor
Henri Veesaar,Veesaar
Chris Cenac,Cenac
Joshua Jefferson,Jefferson
Tyler Bilodeau,Bilodeau
Hannes Steinbach,Steinbach
Michael Ajayi,Ajayi
Kylan Boswell,Boswell
Dailyn Swain,Swain
Tobe Awaka,Awaka
Jaylin Sellers,Sellers
Ernest Udeh,Udeh
Sergio De Larrea,De Larrea
Tarik Biberovic,Biberovic
Tobi Lawal,Lawal
Trevon Brazile,Brazile
Ebuka Okorie,Okorie
Ugonna Onyenso,Onyenso
Yaxel Lendeborg,Lendeborg
Bruce Thornton,Thornton
Keaton Wagler,Wagler
Nick Martinelli,Martinelli
Cameron Carr,Carr
Peter Suder,Suder
AK Okereke,Okereke
Ryan Conwell,Conwell
Tre Donaldson,Donaldson
Brayden Burries,Burries
Nate Ament,Ament
Bogoljub Markovic,Markovic
Aday Mara,Mara
Bennett Stirtz,Stirtz
Otega Oweh,Oweh
Josh Dix,Dix
Labaron Philon,Philon
Duke Miles,Miles
Koa Peat,Peat
Darius Acuff,Acuff
Alex Karaban,Karaban
Emanuel Sharp,Sharp
Jayden Quaintance,Quaintance
Allen Graves,Graves
Nate Bittle,Bittle
Jaden Bradley,Bradley
Darryn Peterson,Peterson
Tamar Bates,Bates
AJ Dybantsa,Dybantsa
Felix Okpara,Okpara
Richie Saunders,Saunders
Isaiah Evans,Evans
Jack Kayil,Kayil
Tyler Nickel,Nickel
Bryce Hopkins,Hopkins
Vsevolod Ishchenko,Ishchenko
Narcisse Ngoy,Ngoy
Jaron Pierre,Pierre
Trey Kaufman-Renn,Kaufman-Renn
Malique Lewis,Lewis
